Plot Title: EagleRiverWtrLvl												
#	"Date Time, GMT-08:00"	"Abs Pres, psi (LGR S/N: 9939973, SEN S/N: 9939973)"	"Temp, °F (LGR S/N: 9939973, SEN S/N: 9939973)"	Ave Temp	"Abs Pres Barom., psi (LGR S/N: 9939974, SEN S/N: 9939974)"	"Sensor Depth, feet (LGR S/N: 9939973)"	Ave Depth	Coupler Detached (LGR S/N: 9939973)	Coupler Attached (LGR S/N: 9939973)	Host Connected (LGR S/N: 9939973)	Stopped (LGR S/N: 9939973)	End Of File (LGR S/N: 9939973)
44	7/22/2014 22:45	15.4509	51.7		14.6173	1.92						
45	7/22/2014 23:00	15.4588	52.1		14.6153	1.95						
46	7/22/2014 23:15	15.4642	52.2		14.6173	1.95						
47	7/22/2014 23:30	15.4668	52.2		14.6191	1.96						
48	7/22/2014 23:45	15.4851	52.4		14.6188	2.00						
49	7/23/2014 0:00	15.4852	52.6	47.3	14.6208	2.00	1.98					
50	7/23/2014 0:15	15.5061	52.6		14.6224	2.04						
51	7/23/2014 0:30	15.4983	52.6		14.6198	2.03						
52	7/23/2014 0:45	15.5009	52.6		14.6233	2.03						
53	7/23/2014 1:00	15.5061	52.6		14.6226	2.04						
54	7/23/2014 1:15	15.5009	52.6		14.6223	2.03						
55	7/23/2014 1:30	15.5216	52.4		14.6237	2.07						
56	7/23/2014 1:45	15.5086	52.4		14.6214	2.05						
57	7/23/2014 2:00	15.5293	52.2		14.6211	2.10						
58	7/23/2014 2:15	15.5293	52.2		14.6166	2.11						
59	7/23/2014 2:30	15.524	52.1		14.6184	2.09						
60	7/23/2014 2:45	15.5393	51.7		14.6201	2.12						
61	7/23/2014 3:00	15.5289	51.5		14.6178	2.10						
62	7/23/2014 3:15	15.5314	51.2		14.6155	2.11						
63	7/23/2014 3:30	15.5441	50.8		14.6175	2.14						
64	7/23/2014 3:45	15.5285	50.6		14.6155	2.11						
65	7/23/2014 4:00	15.5543	50.3		14.6131	2.17						
66	7/23/2014 4:15	15.5411	49.9		14.6131	2.14						
67	7/23/2014 4:30	15.5434	49.6		14.6149	2.14						
68	7/23/2014 4:45	15.5537	49.4		14.6188	2.16						
69	7/23/2014 5:00	15.5588	49.1		14.6165	2.17						
70	7/23/2014 5:15	15.5586	48.7		14.6182	2.17						
71	7/23/2014 5:30	15.5507	48.5		14.6159	2.16						
72	7/23/2014 5:45	15.5531	48.2		14.6156	2.16						
73	7/23/2014 6:00	15.5528	47.8		14.6173	2.16						
74	7/23/2014 6:15	15.5581	47.6		14.617	2.17						
75	7/23/2014 6:30	15.5552	47.3		14.617	2.16						
76	7/23/2014 6:45	15.5628	46.9		14.617	2.18						
77	7/23/2014 7:00	15.5524	46.7		14.621	2.15						
78	7/23/2014 7:15	15.5601	46.5		14.621	2.17						
79	7/23/2014 7:30	15.5547	46.2		14.621	2.15						
80	7/23/2014 7:45	15.5415	46.0		14.621	2.12						
81	7/23/2014 8:00	15.5544	45.8		14.6191	2.16						
82	7/23/2014 8:15	15.5335	45.6		14.6199	2.11						
83	7/23/2014 8:30	15.5335	45.6		14.6179	2.11						
84	7/23/2014 8:45	15.5283	45.5		14.6185	2.10						
85	7/23/2014 9:00	15.5308	45.3		14.6192	2.10						
86	7/23/2014 9:15	15.5256	45.3		14.6157	2.10						
87	7/23/2014 9:30	15.5099	45.1		14.617	2.06						
88	7/23/2014 9:45	15.5099	45.1		14.6172	2.06						
89	7/23/2014 10:00	15.5071	44.9		14.6188	2.05						
90	7/23/2014 10:15	15.5047	44.9		14.6176	2.05						
91	7/23/2014 10:30	15.5019	44.7		14.6176	2.04						
92	7/23/2014 10:45	15.4993	44.7		14.6173	2.04						
93	7/23/2014 11:00	15.4915	44.6		14.6176	2.02						
94	7/23/2014 11:15	15.507	44.6		14.621	2.04						
95	7/23/2014 11:30	15.4915	44.6		14.6169	2.02						
96	7/23/2014 11:45	15.481	44.6		14.6169	1.99						
97	7/23/2014 12:00	15.4758	44.6		14.6181	1.98						
98	7/23/2014 12:15	15.481	44.6		14.6182	1.99						
99	7/23/2014 12:30	15.4734	44.7		14.6179	1.97						
100	7/23/2014 12:45	15.4577	44.7		14.6172	1.94						
101	7/23/2014 13:00	15.4577	44.7		14.6137	1.95						
102	7/23/2014 13:15	15.4577	44.7		14.6178	1.94						
103	7/23/2014 13:30	15.4551	44.7		14.6157	1.94						
104	7/23/2014 13:45	15.4446	44.7		14.6143	1.92						
105	7/23/2014 14:00	15.4396	44.9		14.6149	1.90						
106	7/23/2014 14:15	15.4448	44.9		14.6121	1.92						
107	7/23/2014 14:30	15.4449	45.1		14.6133	1.92						
108	7/23/2014 14:45	15.4293	45.1		14.6101	1.89						
109	7/23/2014 15:00	15.4242	45.3		14.6086	1.88						
110	7/23/2014 15:15	15.4242	45.5		14.6069	1.89						
111	7/23/2014 15:30	15.419	45.5		14.6072	1.87						
112	7/23/2014 15:45	15.419	45.5		14.6057	1.88						
113	7/23/2014 16:00	15.4243	45.6		14.6065	1.89						
114	7/23/2014 16:15	15.4165	45.6		14.6059	1.87						
115	7/23/2014 16:30	15.4036	45.8		14.6047	1.84						
116	7/23/2014 16:45	15.3933	46.0		14.605	1.82						
117	7/23/2014 17:00	15.4037	46.0		14.603	1.85						
118	7/23/2014 17:15	15.3959	46.2		14.6012	1.83						
119	7/23/2014 17:30	15.3908	46.2		14.5986	1.83						
120	7/23/2014 17:45	15.396	46.4		14.5983	1.84						
121	7/23/2014 18:00	15.3831	46.5		14.5996	1.81						
122	7/23/2014 18:15	15.3857	46.7		14.6001	1.81						
123	7/23/2014 18:30	15.3833	46.9		14.5976	1.81						
124	7/23/2014 18:45	15.3886	47.1		14.5994	1.82						
125	7/23/2014 19:00	15.3834	47.1		14.5956	1.82						
126	7/23/2014 19:15	15.3808	47.1		14.5941	1.82						
127	7/23/2014 19:30	15.3757	47.3		14.5938	1.80						
128	7/23/2014 19:45	15.3834	47.3		14.5875	1.84						
129	7/23/2014 20:00	15.3782	47.3		14.5882	1.82						
130	7/23/2014 20:15	15.3808	47.3		14.5888	1.83						
131	7/23/2014 20:30	15.3991	47.3		14.5879	1.87						
132	7/23/2014 20:45	15.3888	47.4		14.5901	1.84						
133	7/23/2014 21:00	15.381	47.4		14.5909	1.82						
134	7/23/2014 21:15	15.3914	47.6		14.5908	1.85						
135	7/23/2014 21:30	15.3862	47.4		14.5931	1.83						
136	7/23/2014 21:45	15.3992	47.4		14.5953	1.86						
137	7/23/2014 22:00	15.3965	47.3		14.5957	1.85						
138	7/23/2014 22:15	15.3991	47.3		14.5982	1.85						
139	7/23/2014 22:30	15.3913	47.3		14.5985	1.83						
140	7/23/2014 22:45	15.4069	47.3		14.6001	1.86						
141	7/23/2014 23:00	15.3886	47.3		14.5992	1.82						
142	7/23/2014 23:15	15.4017	47.3		14.5983	1.85						
143	7/23/2014 23:30	15.3991	47.3		14.5979	1.85						
144	7/23/2014 23:45	15.4069	47.3		14.5976	1.87						
145	7/24/2014 0:00	15.4095	47.3	47.0	14.5991	1.87	1.86					
146	7/24/2014 0:15	15.4121	47.3		14.6028	1.87						
147	7/24/2014 0:30	15.4148	47.3		14.6041	1.87						
148	7/24/2014 0:45	15.4148	47.3		14.6056	1.87						
149	7/24/2014 1:00	15.4251	47.3		14.607	1.89						
150	7/24/2014 1:15	15.4277	47.3		14.6088	1.89						
151	7/24/2014 1:30	15.4303	47.3		14.6107	1.89						
152	7/24/2014 1:45	15.4303	47.3		14.6101	1.89						
153	7/24/2014 2:00	15.4278	47.4		14.6078	1.89						
154	7/24/2014 2:15	15.4383	47.4		14.6072	1.92						
155	7/24/2014 2:30	15.4435	47.4		14.6088	1.93						
156	7/24/2014 2:45	15.4461	47.4		14.6102	1.93						
157	7/24/2014 3:00	15.4538	47.4		14.6082	1.95						
158	7/24/2014 3:15	15.4485	47.4		14.6099	1.94						
159	7/24/2014 3:30	15.4538	47.4		14.612	1.94						
160	7/24/2014 3:45	15.4693	47.3		14.6102	1.98						
161	7/24/2014 4:00	15.459	47.3		14.6102	1.96						
162	7/24/2014 4:15	15.4667	47.3		14.6099	1.98						
163	7/24/2014 4:30	15.4667	47.3		14.6079	1.98						
164	7/24/2014 4:45	15.4693	47.1		14.6079	1.99						
165	7/24/2014 5:00	15.4797	47.1		14.6102	2.01						
166	7/24/2014 5:15	15.4744	46.9		14.6102	1.99						
167	7/24/2014 5:30	15.4665	46.9		14.6102	1.98						
168	7/24/2014 5:45	15.4794	46.7		14.6082	2.01						
169	7/24/2014 6:00	15.4716	46.7		14.6059	2.00						
170	7/24/2014 6:15	15.4768	46.5		14.6059	2.01						
171	7/24/2014 6:30	15.469	46.5		14.6041	2.00						
172	7/24/2014 6:45	15.4767	46.4		14.6068	2.01						
173	7/24/2014 7:00	15.4792	46.2		14.6069	2.01						
174	7/24/2014 7:15	15.4689	46.2		14.6075	1.99						
175	7/24/2014 7:30	15.4715	46.2		14.606	2.00						
176	7/24/2014 7:45	15.4661	46.0		14.6068	1.98						
177	7/24/2014 8:00	15.4661	45.8		14.6056	1.99						
178	7/24/2014 8:15	15.4686	45.8		14.6086	1.98						
179	7/24/2014 8:30	15.4633	45.6		14.6081	1.97						
180	7/24/2014 8:45	15.466	45.6		14.6079	1.98						
181	7/24/2014 9:00	15.4477	45.5		14.606	1.94						
182	7/24/2014 9:15	15.4529	45.5		14.6015	1.96						
183	7/24/2014 9:30	15.4529	45.5		14.5996	1.97						
184	7/24/2014 9:45	15.4398	45.5		14.6014	1.93						
185	7/24/2014 10:00	15.4503	45.5		14.6021	1.96						
186	7/24/2014 10:15	15.4374	45.6		14.603	1.93						
187	7/24/2014 10:30	15.4269	45.6		14.5998	1.91						
188	7/24/2014 10:45	15.4295	45.6		14.6021	1.91						
189	7/24/2014 11:00	15.4269	45.6		14.6007	1.91						
190	7/24/2014 11:15	15.4114	45.8		14.5994	1.87						
191	7/24/2014 11:30	15.4114	45.8		14.5985	1.88						
192	7/24/2014 11:45	15.4219	46.0		14.5965	1.90						
193	7/24/2014 12:00	15.4116	46.2		14.5954	1.88						
194	7/24/2014 12:15	15.409	46.2		14.5975	1.87						
195	7/24/2014 12:30	15.3908	46.4		14.5946	1.84						
196	7/24/2014 12:45	15.3908	46.4		14.5954	1.84						
197	7/24/2014 13:00	15.3908	46.4		14.5957	1.83						
198	7/24/2014 13:15	15.3752	46.4		14.5934	1.80						
199	7/24/2014 13:30	15.3805	46.5		14.5934	1.82						
200	7/24/2014 13:45	15.3805	46.5		14.5954	1.81						
201	7/24/2014 14:00	15.3778	46.4		14.5951	1.81						
202	7/24/2014 14:15	15.3727	46.4		14.5951	1.79						
203	7/24/2014 14:30	15.3804	46.4		14.5963	1.81						
204	7/24/2014 14:45	15.3699	46.2		14.5973	1.78						
205	7/24/2014 15:00	15.3699	46.2		14.5944	1.79						
206	7/24/2014 15:15	15.3701	46.4		14.5956	1.79						
207	7/24/2014 15:30	15.3675	46.5		14.5979	1.78						
208	7/24/2014 15:45	15.3598	46.7		14.5962	1.76						
209	7/24/2014 16:00	15.3625	46.9		14.5934	1.77						
210	7/24/2014 16:15	15.3625	47.1		14.5957	1.77						
211	7/24/2014 16:30	15.3678	47.1		14.5941	1.79						
212	7/24/2014 16:45	15.3573	46.9		14.5982	1.75						
213	7/24/2014 17:00	15.3676	46.9		14.5986	1.77						
214	7/24/2014 17:15	15.3573	47.1		14.5931	1.76						
215	7/24/2014 17:30	15.3496	47.1		14.5934	1.75						
216	7/24/2014 17:45	15.3418	47.3		14.5924	1.73						
217	7/24/2014 18:00	15.3418	47.3		14.5956	1.72						
218	7/24/2014 18:15	15.3498	47.4		14.5922	1.75						
219	7/24/2014 18:30	15.3367	47.4		14.5949	1.71						
220	7/24/2014 18:45	15.3367	47.4		14.5936	1.72						
221	7/24/2014 19:00	15.3472	47.6		14.5904	1.75						
222	7/24/2014 19:15	15.3343	47.6		14.5917	1.71						
223	7/24/2014 19:30	15.3343	47.6		14.5908	1.72						
224	7/24/2014 19:45	15.3395	47.8		14.5922	1.72						
225	7/24/2014 20:00	15.3395	47.8		14.594	1.72						
226	7/24/2014 20:15	15.3448	48.0		14.5915	1.74						
227	7/24/2014 20:30	15.3396	48.2		14.5918	1.73						
228	7/24/2014 20:45	15.3448	48.2		14.5918	1.74						
229	7/24/2014 21:00	15.345	48.3		14.5915	1.74						
230	7/24/2014 21:15	15.3528	48.3		14.5915	1.76						
231	7/24/2014 21:30	15.3502	48.5		14.5938	1.75						
232	7/24/2014 21:45	15.366	48.7		14.5938	1.78						
233	7/24/2014 22:00	15.3634	48.9		14.594	1.78						
234	7/24/2014 22:15	15.3636	49.1		14.594	1.78						
235	7/24/2014 22:30	15.3637	49.2		14.5938	1.78						
236	7/24/2014 22:45	15.3766	49.2		14.5976	1.80						
237	7/24/2014 23:00	15.3768	49.4		14.5953	1.80						
238	7/24/2014 23:15	15.3872	49.4		14.5956	1.83						
239	7/24/2014 23:30	15.3976	49.4		14.598	1.85						
240	7/24/2014 23:45	15.4003	49.4		14.598	1.85						
241	7/25/2014 0:00	15.4079	49.2	46.1	14.602	1.86	1.89					
242	7/25/2014 0:15	15.4132	49.2		14.5991	1.88						
243	7/25/2014 0:30	15.4132	49.2		14.5985	1.88						
244	7/25/2014 0:45	15.4208	49.1		14.596	1.90						
245	7/25/2014 1:00	15.4208	49.1		14.5998	1.89						
246	7/25/2014 1:15	15.4233	48.9		14.5978	1.91						
247	7/25/2014 1:30	15.4442	48.9		14.5975	1.95						
248	7/25/2014 1:45	15.439	48.9		14.5972	1.94						
249	7/25/2014 2:00	15.4414	48.7		14.5969	1.95						
250	7/25/2014 2:15	15.4493	48.7		14.5969	1.97						
251	7/25/2014 2:30	15.4519	48.7		14.5949	1.98						
252	7/25/2014 2:45	15.4622	48.5		14.5949	2.00						
253	7/25/2014 3:00	15.4517	48.3		14.5946	1.98						
254	7/25/2014 3:15	15.4777	48.3		14.5946	2.04						
255	7/25/2014 3:30	15.4673	48.2		14.5943	2.01						
256	7/25/2014 3:45	15.4749	48.0		14.5943	2.03						
257	7/25/2014 4:00	15.4748	47.8		14.5943	2.03						
258	7/25/2014 4:15	15.467	47.6		14.5922	2.02						
259	7/25/2014 4:30	15.4747	47.4		14.5921	2.04						
260	7/25/2014 4:45	15.4693	47.3		14.5921	2.02						
261	7/25/2014 5:00	15.4745	47.1		14.5918	2.04						
262	7/25/2014 5:15	15.4796	46.9		14.5912	2.05						
263	7/25/2014 5:30	15.4848	46.9		14.5912	2.06						
264	7/25/2014 5:45	15.4794	46.7		14.5889	2.05						
265	7/25/2014 6:00	15.4716	46.5		14.5889	2.04						
266	7/25/2014 6:15	15.4715	46.4		14.5851	2.05						
267	7/25/2014 6:30	15.4741	46.2		14.5854	2.05						
268	7/25/2014 6:45	15.4792	46.0		14.5872	2.06						
269	7/25/2014 7:00	15.4661	45.8		14.5872	2.03						
270	7/25/2014 7:15	15.4764	45.8		14.5869	2.05						
271	7/25/2014 7:30	15.4503	45.6		14.5869	1.99						
272	7/25/2014 7:45	15.4606	45.5		14.5889	2.01						
273	7/25/2014 8:00	15.4606	45.3		14.5872	2.02						
274	7/25/2014 8:15	15.458	45.3		14.5892	2.00						
275	7/25/2014 8:30	15.4475	45.1		14.5854	1.99						
276	7/25/2014 8:45	15.4578	44.9		14.5864	2.01						
277	7/25/2014 9:00	15.4422	44.9		14.5876	1.97						
278	7/25/2014 9:15	15.4369	44.7		14.5899	1.95						
279	7/25/2014 9:30	15.442	44.7		14.5879	1.97						
280	7/25/2014 9:45	15.4317	44.7		14.5883	1.95						
281	7/25/2014 10:00	15.442	44.6		14.5892	1.97						
282	7/25/2014 10:15	15.4342	44.6		14.594	1.94						
283	7/25/2014 10:30	15.429	44.6		14.5899	1.94						
284	7/25/2014 10:45	15.429	44.4		14.5943	1.93						
285	7/25/2014 11:00	15.4264	44.4		14.5949	1.92						
286	7/25/2014 11:15	15.4133	44.4		14.5931	1.89						
287	7/25/2014 11:30	15.429	44.4		14.5975	1.92						
288	7/25/2014 11:45	15.4211	44.4		14.5982	1.90						
289	7/25/2014 12:00	15.4107	44.4		14.5985	1.87						
290	7/25/2014 12:15	15.3976	44.4		14.5967	1.85						
291	7/25/2014 12:30	15.4107	44.4		14.5999	1.87						
292	7/25/2014 12:45	15.403	44.6		14.6028	1.85						
293	7/25/2014 13:00	15.4135	44.6		14.6001	1.88						
294	7/25/2014 13:15	15.4108	44.6		14.6021	1.87						
295	7/25/2014 13:30	15.4082	44.6		14.6041	1.86						
296	7/25/2014 13:45	15.3978	44.6		14.6041	1.83						
297	7/25/2014 14:00	15.4004	44.6		14.6041	1.84						
298	7/25/2014 14:15	15.3979	44.7		14.6063	1.83						
299	7/25/2014 14:30	15.4005	44.7		14.6062	1.83						
300	7/25/2014 14:45	15.4005	44.7		14.6102	1.82						
301	7/25/2014 15:00	15.3849	44.7		14.612	1.78						
302	7/25/2014 15:15	15.4005	44.7		14.6114	1.82						
303	7/25/2014 15:30	15.4084	44.9		14.6114	1.84						
304	7/25/2014 15:45	15.4032	44.9		14.6114	1.83						
305	7/25/2014 16:00	15.4032	44.9		14.6152	1.82						
306	7/25/2014 16:15	15.3953	44.9		14.6126	1.81						
307	7/25/2014 16:30	15.3953	44.9		14.6128	1.81						
308	7/25/2014 16:45	15.4033	45.1		14.6152	1.82						
309	7/25/2014 17:00	15.385	45.1		14.6169	1.77						
310	7/25/2014 17:15	15.3929	45.1		14.6165	1.79						
311	7/25/2014 17:30	15.3902	45.1		14.6141	1.79						
312	7/25/2014 17:45	15.3904	45.3		14.6136	1.79						
313	7/25/2014 18:00	15.3878	45.3		14.6139	1.79						
314	7/25/2014 18:15	15.3956	45.5		14.6124	1.81						
315	7/25/2014 18:30	15.3799	45.5		14.6141	1.77						
316	7/25/2014 18:45	15.3905	45.6		14.6139	1.79						
317	7/25/2014 19:00	15.3958	45.6		14.6118	1.81						
318	7/25/2014 19:15	15.3827	45.6		14.6141	1.77						
319	7/25/2014 19:30	15.3905	45.8		14.6131	1.79						
320	7/25/2014 19:45	15.3776	45.8		14.614	1.76						
321	7/25/2014 20:00	15.3907	46.0		14.6143	1.79						
322	7/25/2014 20:15	15.3828	46.0		14.6176	1.77						
323	7/25/2014 20:30	15.375	46.0		14.6169	1.75						
324	7/25/2014 20:45	15.3908	46.2		14.6168	1.79						
325	7/25/2014 21:00	15.3882	46.2		14.6182	1.78						
326	7/25/2014 21:15	15.3908	46.2		14.6168	1.79						
327	7/25/2014 21:30	15.3856	46.4		14.6181	1.77						
328	7/25/2014 21:45	15.3908	46.4		14.6208	1.78						
329	7/25/2014 22:00	15.3934	46.4		14.6224	1.78						
330	7/25/2014 22:15	15.3934	46.4		14.6236	1.78						
331	7/25/2014 22:30	15.4065	46.4		14.6243	1.81						
332	7/25/2014 22:45	15.4065	46.5		14.6255	1.80						
333	7/25/2014 23:00	15.4013	46.5		14.6247	1.79						
334	7/25/2014 23:15	15.4117	46.5		14.6256	1.81						
335	7/25/2014 23:30	15.4143	46.5		14.6271	1.82						
336	7/25/2014 23:45	15.4117	46.5		14.6284	1.81						
337	7/26/2014 0:00	15.4169	46.5	46.4	14.6278	1.82	1.77					
338	7/26/2014 0:15	15.4222	46.5		14.6272	1.83						
339	7/26/2014 0:30	15.4248	46.5		14.6291	1.84						
340	7/26/2014 0:45	15.4194	46.4		14.6291	1.82						
341	7/26/2014 1:00	15.422	46.4		14.6271	1.83						
342	7/26/2014 1:15	15.4298	46.4		14.6291	1.85						
343	7/26/2014 1:30	15.4194	46.4		14.6292	1.82						
344	7/26/2014 1:45	15.4168	46.4		14.6291	1.82						
345	7/26/2014 2:00	15.4298	46.4		14.6291	1.85						
346	7/26/2014 2:15	15.4246	46.4		14.6331	1.83						
347	7/26/2014 2:30	15.4325	46.2		14.6305	1.85						
348	7/26/2014 2:45	15.4349	46.2		14.6326	1.85						
349	7/26/2014 3:00	15.4271	46.0		14.6326	1.83						
350	7/26/2014 3:15	15.4427	46.0		14.6326	1.87						
351	7/26/2014 3:30	15.4348	45.8		14.6363	1.84						
352	7/26/2014 3:45	15.4374	45.8		14.632	1.86						
353	7/26/2014 4:00	15.4425	45.6		14.6336	1.87						
354	7/26/2014 4:15	15.4191	45.6		14.6313	1.82						
355	7/26/2014 4:30	15.4294	45.5		14.6333	1.84						
356	7/26/2014 4:45	15.4372	45.5		14.6313	1.86						
357	7/26/2014 5:00	15.4294	45.3		14.631	1.84						
358	7/26/2014 5:15	15.4268	45.3		14.631	1.84						
359	7/26/2014 5:30	15.4371	45.1		14.631	1.86						
360	7/26/2014 5:45	15.4371	45.1		14.631	1.86						
361	7/26/2014 6:00	15.4343	44.9		14.633	1.85						
362	7/26/2014 6:15	15.4396	44.9		14.633	1.86						
363	7/26/2014 6:30	15.442	44.7		14.635	1.86						
364	7/26/2014 6:45	15.4343	44.7		14.633	1.85						
365	7/26/2014 7:00	15.4342	44.6		14.635	1.84						
366	7/26/2014 7:15	15.4342	44.6		14.6371	1.84						
367	7/26/2014 7:30	15.4393	44.4		14.6388	1.85						
368	7/26/2014 7:45	15.4419	44.4		14.6371	1.86						
369	7/26/2014 8:00	15.4393	44.4		14.6353	1.86						
370	7/26/2014 8:15	15.4314	44.2		14.6378	1.83						
371	7/26/2014 8:30	15.4393	44.2		14.6388	1.85						
372	7/26/2014 8:45	15.4419	44.2		14.6408	1.85						
373	7/26/2014 9:00	15.429	44.4		14.643	1.81						
374	7/26/2014 9:15	15.429	44.4		14.642	1.82						
375	7/26/2014 9:30	15.4316	44.4		14.6433	1.82						
376	7/26/2014 9:45	15.4288	44.2		14.643	1.81						
377	7/26/2014 10:00	15.4316	44.4		14.6417	1.82						
378	7/26/2014 10:15	15.4314	44.2		14.6417	1.82						
379	7/26/2014 10:30	15.4236	44.2		14.6448	1.80						
380	7/26/2014 10:45	15.4158	44.2		14.6413	1.79						
381	7/26/2014 11:00	15.4132	44.2		14.6446	1.77						
382	7/26/2014 11:15	15.4185	44.4		14.6439	1.79						
383	7/26/2014 11:30	15.4081	44.4		14.6424	1.77						
384	7/26/2014 11:45	15.3978	44.6		14.6389	1.75						
385	7/26/2014 12:00	15.4005	44.7		14.6398	1.76						
386	7/26/2014 12:15	15.3979	44.9		14.6388	1.75						
387	7/26/2014 12:30	15.4007	45.1		14.6403	1.75						
388	7/26/2014 12:45	15.3955	45.3		14.6411	1.74						
389	7/26/2014 13:00	15.393	45.5		14.6411	1.74						
390	7/26/2014 13:15	15.3878	45.3		14.6411	1.72						
391	7/26/2014 13:30	15.3904	45.3		14.6405	1.73						
392	7/26/2014 13:45	15.3907	46.0		14.6391	1.73						
393	7/26/2014 14:00	15.383	46.2		14.6355	1.73						
394	7/26/2014 14:15	15.3753	46.5		14.6363	1.71						
395	7/26/2014 14:30	15.3833	46.7		14.6346	1.73						
396	7/26/2014 14:45	15.3702	46.7		14.6352	1.70						
397	7/26/2014 15:00	15.3727	46.5		14.6334	1.71						
398	7/26/2014 15:15	15.3728	46.7		14.6323	1.71						
399	7/26/2014 15:30	15.3756	47.1		14.6346	1.71						
400	7/26/2014 15:45	15.3602	47.6		14.6316	1.68						
401	7/26/2014 16:00	15.3707	47.8		14.6336	1.70						
402	7/26/2014 16:15	15.3602	47.6		14.6347	1.67						
403	7/26/2014 16:30	15.3602	47.6		14.6339	1.68						
404	7/26/2014 16:45	15.3499	47.8		14.6321	1.66						
405	7/26/2014 17:00	15.363	48.0		14.6374	1.67						
406	7/26/2014 17:15	15.3631	48.2		14.6388	1.67						
407	7/26/2014 17:30	15.345	48.3		14.6381	1.63						
408	7/26/2014 17:45	15.358	48.5		14.6374	1.66						
409	7/26/2014 18:00	15.3504	48.7		14.6356	1.65						
410	7/26/2014 18:15	15.3504	48.7		14.634	1.65						
411	7/26/2014 18:30	15.3451	48.5		14.6317	1.65						
412	7/26/2014 18:45	15.3319	48.3		14.6305	1.62						
413	7/26/2014 19:00	15.3425	48.5		14.6282	1.65						
414	7/26/2014 19:15	15.3527	48.2		14.6255	1.68						
415	7/26/2014 19:30	15.3422	48.0		14.6239	1.66						
416	7/26/2014 19:45	15.3475	48.0		14.6215	1.68						
417	7/26/2014 20:00	15.3578	48.0		14.6201	1.70						
418	7/26/2014 20:15	15.3475	48.2		14.622	1.67						
419	7/26/2014 20:30	15.3527	48.2		14.6194	1.69						
420	7/26/2014 20:45	15.3501	48.2		14.6214	1.68						
421	7/26/2014 21:00	15.3528	48.3		14.6195	1.69						
